numero_documento;tipo_documento;nombres_usuario;apellidos_usuario;direccion_usuario;telefono_fijo;celular;email;log_user;password;clave;fk_id_rol;fk_codigo_dane
1412;1;GRUPO ASD;El Encanto;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1412;;1412;4;1412
1574;1;GRUPO ASD;La Chorrera;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1574;;1574;4;1574
1496;1;GRUPO ASD;La Pedrera;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1496;;1496;4;1496
1498;1;GRUPO ASD;Leticia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1498;;1498;4;1498
1381;1;GRUPO ASD;Puerto Santander;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1381;;1381;4;1381
1497;1;GRUPO ASD;Puerto Narino;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1497;;1497;4;1497
1617;1;GRUPO ASD;Tarapaca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1617;;1617;4;1617
1449;1;GRUPO ASD;Amaga;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1449;;1449;4;1449
1448;1;GRUPO ASD;Andes;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1448;;1448;4;1448
1416;1;GRUPO ASD;Arboletes;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1416;;1416;4;1416
1652;1;GRUPO ASD;Carepa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1652;;1652;4;1652
1345;1;GRUPO ASD;Caucasia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1345;;1345;4;1345
1547;1;GRUPO ASD;Cisneros;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1547;;1547;4;1547
